influencer_id,influencer_name,platform,tier,niche,followers,campaign,campaign_date,reach,impressions,engagement_rate,clicks,conversions,spend_usd,revenue_usd
INF_001,Priya Sharma,Instagram,Macro,Beauty,820000,Diwali Special,2025-10-20,280755,730534,4.69,3224,19,4488.35,1722.19
INF_002,Anjali Mehta,Instagram,Micro,Skincare,95000,Summer Glow Launch,2026-01-04,21603,43865,7.56,913,32,1775.55,2176.86
INF_003,Ritu Kapoor,Instagram,Mega,Fashion,2100000,Summer Glow Launch,2025-11-29,808912,1204748,2.56,25376,205,10573.19,18182.26
INF_004,Neha Bose,Instagram,Nano,Lifestyle,18000,Diwali Special,2025-11-04,9188,22875,7.66,232,13,469.77,382.08
INF_005,Kavita Reddy,Instagram,Micro,Fitness,72000,New Year New You,2026-01-20,38734,71896,4.7,982,49,1391.84,1921.03
INF_006,Simran Gill,Instagram,Macro,Food,310000,Festive Season Push,2025-12-31,81826,191287,5.1,3175,20,3347.2,1295.85
INF_007,Meera Iyer,Instagram,Micro,Travel,58000,Festive Season Push,2025-11-27,18755,33827,8.65,247,9,1175.75,306.96
INF_008,Divya Nair,Instagram,Nano,Beauty,12000,Festive Season Push,2026-01-07,5111,12201,8.46,127,4,272.25,115.8
INF_009,Pooja Tiwari,Instagram,Macro,Parenting,480000,Diwali Special,2025-11-28,170066,372670,3.21,5354,113,3621.2,8928.17
INF_010,Sanya Verma,Instagram,Micro,Fashion,88000,Summer Glow Launch,2025-12-23,16843,33878,6.56,389,3,1430.39,130.6
INF_011,Arjun Khanna,YouTube,Macro,Tech,650000,Diwali Special,2026-01-13,187609,436506,3.75,6942,354,5591.9,24853.59
INF_012,Rohit Bansal,YouTube,Mega,Gaming,1500000,Diwali Special,2025-11-10,362669,519268,3.26,12594,223,8802.21,16503.48
INF_013,Vikram Singh,YouTube,Micro,Education,140000,Brand Awareness Q1,2026-01-22,61269,124046,5.66,1173,47,1982.28,2296.02
INF_014,Aditya Patel,YouTube,Macro,Finance,720000,Summer Glow Launch,2025-10-27,161036,442310,5.39,5457,220,6508.09,22577.4
INF_015,Karan Malhotra,YouTube,Micro,Fitness,185000,Brand Awareness Q1,2025-11-08,64058,114096,4.8,2651,151,2669.6,6374.97
INF_016,Siddharth Roy,YouTube,Macro,Tech,530000,Monsoon Refresh,2025-12-28,208984,344297,2.43,7537,170,4843.6,12187.06
INF_017,Nikhil Gupta,YouTube,Nano,Vlog,22000,Summer Glow Launch,2025-10-26,9249,14042,7.94,88,4,503.08,138.91
INF_018,Rahul Desai,YouTube,Micro,Food,96000,Summer Glow Launch,2025-12-14,20952,46570,4.37,884,16,1737.09,771.68
INF_019,Varun Joshi,YouTube,Macro,Travel,410000,Summer Glow Launch,2025-11-12,219213,454916,3.34,2424,96,3978.28,7206.21
INF_020,Manish Tomar,YouTube,Micro,Education,163000,Festive Season Push,2025-10-13,63820,131653,7.15,1293,45,2212.97,2342.64
INF_021,Zara Khan,TikTok,Macro,Entertainment,890000,Festive Season Push,2025-11-20,455305,726825,5.78,5471,92,4049.22,5795.91
INF_022,Aisha Malik,TikTok,Micro,Fashion,210000,Brand Awareness Q1,2026-01-09,94287,233464,11.34,3949,50,2127.65,1767.82
