date,product,category,price,discount_pct,units_sold,revenue
2026-06-16,Omega-3 Fish Oil 90 Caps,Nutrition,620.0,10,93,51894.0
2026-06-17,Whey Protein Shake 1kg,Nutrition,1361.0,0,84,114324.0
2026-04-19,Yoga Mat Premium 6mm,Fitness,1154.0,20,92,84934.4
2026-04-10,Rose Water Toner 150ml,Beauty,364.0,10,55,18018.0
2026-04-15,Rose Water Toner 150ml,Beauty,347.0,25,78,20299.5
2026-05-15,Glow Face Serum 30ml,Beauty,1434.0,15,29,35348.1
2026-04-08,Omega-3 Fish Oil 90 Caps,Nutrition,614.0,15,99,51668.1
2026-04-22,Vitamin C Effervescent 60ct,Nutrition,415.0,40,44,10956.0
2026-04-24,Sleep Gummies Melatonin 60ct,Wellness,497.0,0,94,46718.0
2026-05-11,Collagen Powder 300g,Nutrition,1017.0,0,8,8136.0
2026-04-02,Whey Protein Shake 1kg,Nutrition,1276.0,40,90,68904.0
2026-04-04,Vitamin C Effervescent 60ct,Nutrition,387.0,10,46,16021.8
2026-05-14,Natural Body Lotion 200ml,Beauty,485.0,10,18,7857.0
2026-05-05,Rose Water Toner 150ml,Beauty,361.0,10,81,26316.9
2026-04-29,Whey Protein Shake 1kg,Nutrition,1342.0,10,84,101455.2
2026-05-16,Natural Body Lotion 200ml,Beauty,488.0,10,97,42602.4
2026-06-03,Sleep Gummies Melatonin 60ct,Wellness,484.0,0,82,39688.0
2026-04-13,Rose Water Toner 150ml,Beauty,355.0,20,3,852.0
2026-05-13,Bamboo Diffuser + 2 Oils,Wellness,846.0,20,85,57528.0
2026-05-10,Yoga Mat Premium 6mm,Fitness,1153.0,0,69,79557.0
2026-05-16,Whey Protein Shake 1kg,Nutrition,1307.0,10,81,95280.3
2026-06-17,Hydrating Lip Balm SPF30,Beauty,250.0,15,92,19550.0
2026-06-16,Sleep Gummies Melatonin 60ct,Wellness,476.0,10,68,29131.2
2026-05-24,Adjustable Dumbbells 10kg Pair,Fitness,2476.0,5,54,127018.8
2026-03-27,Yoga Mat Premium 6mm,Fitness,1146.0,5,102,111047.4
2026-04-08,Glow Face Serum 30ml,Beauty,1523.0,5,35,50639.75
2026-06-13,Natural Body Lotion 200ml,Beauty,507.0,20,68,27580.8
2026-05-19,Adjustable Dumbbells 10kg Pair,Fitness,2416.0,25,50,90600.0
2026-05-25,Omega-3 Fish Oil 90 Caps,Nutrition,612.0,0,5,3060.0
2026-04-23,Vitamin C Effervescent 60ct,Nutrition,399.0,0,57,22743.0
2026-04-01,Lavender Essential Oil 15ml,Wellness,596.0,20,20,9536.0
2026-06-10,Omega-3 Fish Oil 90 Caps,Nutrition,607.0,10,47,25676.1
2026-05-01,Foam Roller Deep Tissue,Fitness,672.0,0,45,30240.0
2026-05-25,Foam Roller Deep Tissue,Fitness,713.0,30,115,57396.5
2026-05-14,Yoga Mat Premium 6mm,Fitness,1232.0,40,34,25132.8
2026-06-01,Collagen Powder 300g,Nutrition,976.0,10,86,75542.4
2026-06-17,Bamboo Diffuser + 2 Oils,Wellness,845.0,30,14,8281.0
2026-04-22,Omega-3 Fish Oil 90 Caps,Nutrition,604.0,10,26,14133.6
2026-05-06,Lavender Essential Oil 15ml,Wellness,614.0,25,23,10591.5
2026-05-11,Vitamin C Effervescent 60ct,Nutrition,404.0,10,87,31633.2
2026-06-12,Resistance Bands Set 5-pack,Fitness,766.0,15,71,46228.1
2026-04-17,Foam Roller Deep Tissue,Fitness,699.0,0,51,35649.0
2026-06-08,Natural Body Lotion 200ml,Beauty,479.0,0,41,19639.0
2026-06-09,Vitamin C Effervescent 60ct,Nutrition,416.0,0,71,29536.0
